Project,VARDT,Unival,Baah2010,ESP,NUMFL-DLRM,NUMFL-QRM,Ochiai,Dstar(Star=2)
Compress,11.1%,11.1%,11.1%,0.0%,11.1%,0.0%,11.1%,11.1%
Gson,42.9%,14.3%,14.3%,0.0%,0.0%,0.0%,14.3%,14.3%
Codec,20.0%,0.0%,0.0%,0.0%,10.0%,10.0%,0.0%,0.0%
Csv,20.0%,20.0%,20.0%,20.0%,0.0%,0.0%,20.0%,20.0%
Lang,26.1%,13.0%,4.4%,17.4%,8.7%,4.4%,0.0%,0.0%
JacksonXml,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Chart,25.0%,8.3%,8.3%,8.3%,0.0%,0.0%,0.0%,0.0%
JacksonCore,6.3%,6.3%,0.0%,0.0%,0.0%,0.0%,6.3%,6.3%
Jsoup,16.7%,5.6%,0.0%,5.6%,5.6%,0.0%,0.0%,0.0%
JxPath,12.5%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%
Math,26.1%,13.0%,13.0%,17.4%,13.0%,13.0%,13.0%,13.0%
JacksonDatabind,32.1%,3.6%,10.7%,3.6%,0.0%,0.0%,17.9%,17.9%
Time,25.0%,0.0%,8.3%,0.0%,0.0%,8.3%,0.0%,8.3%
Cli,37.5%,12.5%,0.0%,12.5%,12.5%,12.5%,0.0%,0.0%
Mockito,28.6%,0.0%,0.0%,0.0%,0.0%,0.0%,4.8%,4.8%
TOTAL,24.0%,6.9%,5.9%,6.4%,4.4%,3.9%,6.4%,6.9%